Category: All categories

Day,bitcoin: (United States)
2017-11-01,13
2017-11-02,19
2017-11-03,16
2017-11-04,12
2017-11-05,12
2017-11-06,13
2017-11-07,12
2017-11-08,14
2017-11-09,13
2017-11-10,16
2017-11-11,14
2017-11-12,18
2017-11-13,16
2017-11-14,12
2017-11-15,13
2017-11-16,13
2017-11-17,18
2017-11-18,13
2017-11-19,11
2017-11-20,15
2017-11-21,16
2017-11-22,14
2017-11-23,12
2017-11-24,12
2017-11-25,13
2017-11-26,21
2017-11-27,27
2017-11-28,32
2017-11-29,60
2017-11-30,46
2017-12-01,36
2017-12-02,27
2017-12-03,25
2017-12-04,30
2017-12-05,30
2017-12-06,43
2017-12-07,100
2017-12-08,85
2017-12-09,56
2017-12-10,51
2017-12-11,60
2017-12-12,58
2017-12-13,50
2017-12-14,42
2017-12-15,38
2017-12-16,40
2017-12-17,41
2017-12-18,44
2017-12-19,45
2017-12-20,68
2017-12-21,47
2017-12-22,99
2017-12-23,57
2017-12-24,40
2017-12-25,33
2017-12-26,35
2017-12-27,33
2017-12-28,33
2017-12-29,29
2017-12-30,28
2017-12-31,24
2018-01-01,20
2018-01-02,26
2018-01-03,26
2018-01-04,24
2018-01-05,24
2018-01-06,22
2018-01-07,21
2018-01-08,24
2018-01-09,23
2018-01-10,23
2018-01-11,28
2018-01-12,21
2018-01-13,18
2018-01-14,16
2018-01-15,16
2018-01-16,39
2018-01-17,53
2018-01-18,35
2018-01-19,24
2018-01-20,19
2018-01-21,19
2018-01-22,21
2018-01-23,21
2018-01-24,20
2018-01-25,20
2018-01-26,19
2018-01-27,16
2018-01-28,14
2018-01-29,15
2018-01-30,18
2018-01-31,19
2018-02-01,24
2018-02-02,33
2018-02-03,21
2018-02-04,17
2018-02-05,33
2018-02-06,40
2018-02-07,24
2018-02-08,22
2018-02-09,19
2018-02-10,14
2018-02-11,13
2018-02-12,14
2018-02-13,13
2018-02-14,14
2018-02-15,14
2018-02-16,13
2018-02-17,12
2018-02-18,13
2018-02-19,11
2018-02-20,13
2018-02-21,13
2018-02-22,11
2018-02-23,10
2018-02-24,9
2018-02-25,9
2018-02-26,9
2018-02-27,11
2018-02-28,10
2018-03-01,9
2018-03-02,8
2018-03-03,8
2018-03-04,7
2018-03-05,8
2018-03-06,9
2018-03-07,11
2018-03-08,11
2018-03-09,12
2018-03-10,8
2018-03-11,8
2018-03-12,10
2018-03-13,9
2018-03-14,11
2018-03-15,12
2018-03-16,10
2018-03-17,9
2018-03-18,11
2018-03-19,10
2018-03-20,9
2018-03-21,9
2018-03-22,9
2018-03-23,8
2018-03-24,6
2018-03-25,6
2018-03-26,8
2018-03-27,9
2018-03-28,8
2018-03-29,10
2018-03-30,12
2018-03-31,9
2018-04-01,9
2018-04-02,10
2018-04-03,9
2018-04-04,8
2018-04-05,8
2018-04-06,8
2018-04-07,7
2018-04-08,6
2018-04-09,8
2018-04-10,8
2018-04-11,7
2018-04-12,9
2018-04-13,9
2018-04-14,7
2018-04-15,7
2018-04-16,7
2018-04-17,7
2018-04-18,7
2018-04-19,7
2018-04-20,7
2018-04-21,6
2018-04-22,6
2018-04-23,8
2018-04-24,9
2018-04-25,9
2018-04-26,7
2018-04-27,6
2018-04-28,6
2018-04-29,5
2018-04-30,6
2018-05-01,6
2018-05-02,6
2018-05-03,6
2018-05-04,6
2018-05-05,6
2018-05-06,6
2018-05-07,7
2018-05-08,6
2018-05-09,6
2018-05-10,6
2018-05-11,8
2018-05-12,5
2018-05-13,5
2018-05-14,6
2018-05-15,6
2018-05-16,6
2018-05-17,6
2018-05-18,6
2018-05-19,4
2018-05-20,4
2018-05-21,5
2018-05-22,5
2018-05-23,7
2018-05-24,7
2018-05-25,5
2018-05-26,5
2018-05-27,5
2018-05-28,5
2018-05-29,6
2018-05-30,5
2018-05-31,5
2018-06-01,4
2018-06-02,4
2018-06-03,4
2018-06-04,5
2018-06-05,5
2018-06-06,5
2018-06-07,5
2018-06-08,5
2018-06-09,4
2018-06-10,6
2018-06-11,9
2018-06-12,7
2018-06-13,8
2018-06-14,7
2018-06-15,6
2018-06-16,5
2018-06-17,5
2018-06-18,5
2018-06-19,5
2018-06-20,5
2018-06-21,4
2018-06-22,7
2018-06-23,5
2018-06-24,7
2018-06-25,6
2018-06-26,5
2018-06-27,5
2018-06-28,5
2018-06-29,8
2018-06-30,6
2018-07-01,5
